rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
216,frame_0191.jpg,76.4,0.3096,0.4053,0.25,0.16,4,2,FALSE,FALSE
217,frame_0200.jpg,80,0.3076,0.3323,0.125,0.52,2,1,FALSE,FALSE
218,frame_0217.jpg,86.8,0.3061,0.3772,0.125,0.4,1,1,FALSE,FALSE
219,frame_0101.jpg,40.4,0.3032,0.4244,0.25,0.08,6,2,FALSE,FALSE
220,frame_0212.jpg,84.8,0.3032,0.2914,0.125,0.6,2,1,FALSE,FALSE
221,frame_0394.jpg,157.6,0.3012,0.4204,0.25,0.08,4,2,FALSE,FALSE
222,frame_0214.jpg,85.6,0.298,0.3129,0.125,0.52,3,1,FALSE,FALSE
223,frame_0323.jpg,129.2,0.2979,0.4729,0.125,0.12,6,1,FALSE,FALSE
224,frame_0324.jpg,129.6,0.2958,0.4095,0.25,0.08,4,2,FALSE,FALSE
225,frame_0203.jpg,81.2,0.2949,0.2588,0.125,0.64,3,1,FALSE,FALSE
226,frame_0206.jpg,82.4,0.2947,0.2104,0.125,0.76,3,1,FALSE,FALSE
227,frame_0220.jpg,88,0.2942,0.3264,0.25,0.28,4,2,FALSE,FALSE
228,frame_0310.jpg,124,0.2935,0.33,0.375,0.08,5,3,FALSE,FALSE
229,frame_0091.jpg,36.4,0.2924,0.3819,0.125,0.32,3,1,FALSE,FALSE
230,frame_0224.jpg,89.6,0.2873,0.5266,0,0.12,5,0,FALSE,FALSE
231,frame_0092.jpg,36.8,0.2866,0.3861,0.125,0.28,4,1,FALSE,FALSE
232,frame_0223.jpg,89.2,0.2864,0.3589,0.25,0.16,5,2,FALSE,FALSE
233,frame_0314.jpg,125.6,0.2821,0.3821,0.25,0.08,6,2,FALSE,FALSE
234,frame_0100.jpg,40,0.2774,0.3888,0.25,0.04,5,2,FALSE,FALSE
235,frame_0102.jpg,40.8,0.2766,0.4302,0.125,0.12,4,1,FALSE,FALSE
236,frame_0192.jpg,76.8,0.2754,0.3208,0.25,0.2,5,2,FALSE,FALSE
237,frame_0195.jpg,78,0.2742,0.3453,0.125,0.32,3,1,FALSE,FALSE
238,frame_0309.jpg,123.6,0.2694,0.3407,0.25,0.12,6,2,FALSE,FALSE
239,frame_0215.jpg,86,0.2668,0.2665,0.125,0.48,3,1,FALSE,FALSE
240,frame_0205.jpg,82,0.2605,0.233,0,0.72,2,0,FALSE,FALSE
241,frame_0112.jpg,44.8,0.2591,0.4382,0,0.2,5,0,FALSE,FALSE
242,frame_0269.jpg,107.6,0.2538,0.4166,0.125,0.04,5,1,FALSE,FALSE
243,frame_0221.jpg,88.4,0.25,0.2541,0.25,0.24,4,2,FALSE,FALSE
244,frame_0171.jpg,68.4,0.2484,0.2458,0.125,0.44,5,1,FALSE,FALSE
245,frame_0198.jpg,79.2,0.2482,0.2454,0.125,0.44,2,1,FALSE,FALSE
246,frame_0393.jpg,157.2,0.2442,0.3974,0.125,0.04,4,1,FALSE,FALSE
247,frame_0110.jpg,44,0.2384,0.2788,0.25,0.12,4,2,FALSE,FALSE
248,frame_0311.jpg,124.4,0.2366,0.3823,0.125,0.04,4,1,FALSE,FALSE
249,frame_0204.jpg,81.6,0.2362,0.2003,0,0.68,2,0,FALSE,FALSE
250,frame_0196.jpg,78.4,0.2354,0.2519,0.125,0.36,2,1,FALSE,FALSE
251,frame_0307.jpg,122.8,0.2303,0.3806,0,0.2,7,0,FALSE,FALSE
252,frame_0201.jpg,80.4,0.1958,0.1676,0,0.56,3,0,FALSE,FALSE
253,frame_0199.jpg,79.6,0.194,0.196,0,0.48,1,0,FALSE,FALSE
254,frame_0180.jpg,72,0.1802,0.3284,0,0.08,7,0,FALSE,FALSE
255,frame_0197.jpg,78.8,0.1699,0.1798,0,0.4,1,0,FALSE,FALSE
256,frame_0313.jpg,125.2,0.1676,0.3191,0,0.04,3,0,FALSE,FALSE
